Time(s), Pan(degree), Tilt(degree), Ultrasonic(mm), ToF(mm)
821.65,80.0,21.0,368.9,476.0
821.86,79.0,21.0,364.95,487.0
822.07,78.0,21.0,371.13,481.0
822.27,77.0,21.0,389.99,480.0
822.48,76.0,21.0,1366.0,497.0
822.69,75.0,21.0,3005.88,499.0
822.91,74.0,21.0,1368.23,504.0
823.12,73.0,21.0,1360.85,507.0
823.33,72.0,21.0,1381.78,513.0
823.55,71.0,21.0,3021.83,500.0
823.77,70.0,21.0,3023.37,517.0
823.99,69.0,21.0,1383.15,522.0
824.2,68.0,21.0,3037.95,519.0
824.42,67.0,21.0,3043.44,526.0
824.65,66.0,21.0,745.0,510.0
824.85,65.0,21.0,1807.78,552.0
825.07,64.0,21.0,3198.47,539.0
825.29,63.0,21.0,1733.86,523.0
825.5,62.0,21.0,1782.23,571.0
825.72,61.0,21.0,3186.47,569.0
825.94,60.0,21.0,1748.27,573.0
826.16,59.0,21.0,1792.0,562.0
826.37,58.0,21.0,874.99,579.0
826.58,57.0,21.0,1777.08,575.0
826.79,56.0,21.0,1794.23,597.0
827.01,55.0,21.0,1773.48,599.0
827.22,54.0,21.0,1781.03,611.0
827.44,53.0,21.0,3190.24,621.0
827.66,52.0,21.0,1768.34,598.0
827.87,51.0,21.0,1771.42,617.0
828.09,50.0,21.0,3193.84,725.0
828.31,49.0,21.0,1768.34,742.0
828.52,48.0,21.0,1763.88,714.0
828.74,47.0,21.0,756.49,803.0
828.95,46.0,21.0,3226.94,683.0
829.17,45.0,21.0,1780.86,818.0
829.38,44.0,21.0,1621.02,1041.0
829.59,43.0,21.0,3202.59,819.0
829.82,42.0,21.0,1612.79,872.0
830.03,41.0,21.0,1633.54,834.0
830.24,40.0,21.0,1768.68,966.0
830.46,39.0,21.0,625.63,1118.0
830.67,38.0,21.0,3237.23,1106.0
830.89,37.0,21.0,1764.56,909.0
831.1,36.0,21.0,1747.07,1250.0
831.32,35.0,21.0,3239.98,1263.0
831.54,34.0,21.0,1449.35,1475.0
831.75,33.0,21.0,1461.35,1478.0
831.97,32.0,21.0,1470.44,1457.0
832.18,31.0,21.0,873.62,1429.0
832.39,30.0,21.0,-10.0,1443.0
832.72,29.0,21.0,1515.37,1483.0
832.94,28.0,21.0,1140.99,1484.0
833.15,27.0,21.0,1140.13,1515.0
833.36,26.0,21.0,1161.4,1522.0
833.57,25.0,21.0,1162.77,1525.0
833.78,24.0,21.0,1168.6,1498.0
833.99,23.0,21.0,1154.02,1522.0
834.2,22.0,21.0,1166.37,1680.0
834.41,21.0,21.0,682.91,1513.0
834.62,20.0,21.0,1496.68,1508.0
834.83,19.0,21.0,2789.62,1485.0
835.05,18.0,21.0,1512.8,1598.0
835.27,17.0,21.0,1107.55,1468.0
835.48,16.0,21.0,1486.05,1497.0
835.69,15.0,21.0,744.14,1272.0
835.9,14.0,21.0,743.45,1276.0
836.1,13.0,21.0,711.21,1311.0
836.31,12.0,21.0,707.44,931.0
836.52,11.0,21.0,720.13,955.0
836.73,10.0,21.0,740.88,995.0
836.94,9.0,21.0,758.03,859.0
837.15,8.0,21.0,1092.63,830.0
837.35,7.0,21.0,770.72,801.0
837.56,6.0,21.0,1072.56,727.0
837.77,5.0,21.0,1324.15,760.0
837.98,4.0,21.0,1320.89,744.0
838.2,3.0,21.0,1207.53,778.0
838.41,2.0,21.0,1197.41,723.0
838.62,1.0,21.0,1233.43,732.0
838.83,0.0,21.0,1448.83,752.0
839.04,-1.0,22.0,1443.17,914.0
839.25,0.0,22.0,771.92,945.0
839.46,1.0,22.0,1199.64,1111.0
839.67,2.0,22.0,1064.16,838.0
839.88,3.0,22.0,1076.85,921.0
840.09,4.0,22.0,1448.49,1004.0
840.3,5.0,22.0,1327.58,824.0
840.52,6.0,22.0,1085.94,897.0
840.73,7.0,22.0,1348.85,933.0
840.94,8.0,22.0,1337.36,1044.0
841.15,9.0,22.0,1448.49,1042.0
841.36,10.0,22.0,758.03,1047.0
841.57,11.0,22.0,765.23,1132.0
841.78,12.0,22.0,732.82,1184.0
841.99,13.0,22.0,707.44,1508.0
842.19,14.0,22.0,728.19,1488.0
842.4,15.0,22.0,736.42,1505.0
842.61,16.0,22.0,751.86,1547.0
842.82,17.0,22.0,1150.08,1487.0
843.03,18.0,22.0,1520.0,1558.0
843.24,19.0,22.0,1130.36,1567.0
843.45,20.0,22.0,1082.51,1533.0
843.66,21.0,22.0,1440.77,1589.0
843.88,22.0,22.0,1457.58,1541.0
844.09,23.0,22.0,-10.0,1569.0
844.43,24.0,22.0,1450.03,1520.0
844.64,25.0,22.0,1161.91,1510.0
844.85,26.0,22.0,1139.45,1534.0
845.06,27.0,22.0,1144.59,1492.0
845.27,28.0,22.0,1144.59,1493.0
845.48,29.0,22.0,829.55,1498.0
845.69,30.0,22.0,1171.34,1485.0
845.9,31.0,22.0,832.12,1486.0
846.11,32.0,22.0,1150.42,1492.0
846.32,33.0,22.0,-10.0,1435.0
846.57,34.0,22.0,-10.0,1447.0
846.85,35.0,22.0,3228.83,1345.0
847.08,36.0,22.0,1786.34,1336.0
847.29,37.0,22.0,1756.85,1210.0
847.5,38.0,22.0,3222.66,1275.0
847.73,39.0,22.0,1615.87,1266.0
847.94,40.0,22.0,1618.96,923.0
848.15,41.0,22.0,1638.51,1012.0
848.37,42.0,22.0,599.05,812.0
848.57,43.0,22.0,3211.68,740.0
848.8,44.0,22.0,1624.96,744.0
849.01,45.0,22.0,1782.4,773.0
849.22,46.0,22.0,3197.27,845.0
849.45,47.0,22.0,1784.63,715.0
849.66,48.0,22.0,1779.31,763.0
849.88,49.0,22.0,3191.61,737.0
850.1,50.0,22.0,1780.86,636.0
850.31,51.0,22.0,1776.91,672.0
850.53,52.0,22.0,1771.42,640.0
850.74,53.0,22.0,686.51,724.0
850.95,54.0,22.0,1785.49,648.0
851.16,55.0,22.0,3189.04,588.0
851.39,56.0,22.0,1285.74,646.0
851.6,57.0,22.0,1781.88,621.0
851.81,58.0,22.0,843.61,573.0
852.02,59.0,22.0,1809.15,608.0
852.23,60.0,22.0,3179.1,584.0
852.46,61.0,22.0,1203.24,562.0
852.67,62.0,22.0,3182.87,555.0
852.89,63.0,22.0,3184.24,553.0
853.11,64.0,22.0,1808.12,552.0
853.33,65.0,22.0,3043.1,543.0
853.55,66.0,22.0,1787.72,546.0
853.76,67.0,22.0,776.72,530.0
853.97,68.0,22.0,3048.58,532.0
854.19,69.0,22.0,3014.97,524.0
854.41,70.0,22.0,877.05,516.0
854.62,71.0,22.0,1384.69,535.0
854.84,72.0,22.0,3069.68,516.0
855.06,73.0,22.0,1368.74,515.0
855.27,74.0,22.0,1373.54,506.0
855.48,75.0,22.0,1376.8,507.0
855.69,76.0,22.0,1359.14,500.0
855.91,77.0,22.0,370.61,496.0
856.11,78.0,22.0,3004.51,504.0
856.33,79.0,22.0,1360.68,489.0
856.54,80.0,22.0,1359.48,492.0
856.76,81.0,22.0,386.05,494.0
856.96,82.0,22.0,376.1,489.0
857.17,83.0,22.0,1356.56,482.0
857.38,84.0,22.0,376.79,473.0
857.59,85.0,22.0,363.75,485.0
857.79,86.0,22.0,369.07,478.0
858.0,87.0,22.0,376.1,475.0
858.2,88.0,22.0,380.39,485.0
858.41,89.0,22.0,377.81,472.0
858.61,90.0,22.0,396.85,469.0
858.82,91.0,22.0,371.47,471.0
859.03,92.0,22.0,1345.93,478.0
859.24,93.0,22.0,1328.44,470.0
859.45,94.0,22.0,715.84,474.0
859.66,95.0,22.0,737.11,474.0
859.87,96.0,22.0,1319.52,476.0
860.08,97.0,22.0,1333.24,466.0
860.29,98.0,22.0,1310.6,472.0
860.5,99.0,22.0,1337.53,482.0
860.71,100.0,22.0,1313.0,478.0
860.92,101.0,22.0,715.84,479.0
861.13,102.0,22.0,705.55,483.0
861.34,103.0,22.0,707.27,475.0
861.55,104.0,22.0,1349.02,477.0
861.76,105.0,22.0,1360.85,481.0
861.97,106.0,22.0,1353.31,485.0
862.18,107.0,22.0,-10.0,492.0
862.52,108.0,22.0,1366.34,489.0
862.73,109.0,22.0,718.41,487.0
862.94,110.0,22.0,1353.13,488.0
863.15,111.0,22.0,1334.1,485.0
863.36,112.0,22.0,1346.1,488.0
863.58,113.0,22.0,1362.05,504.0
863.79,114.0,22.0,1345.59,515.0
864.0,115.0,22.0,663.53,524.0
864.21,116.0,22.0,667.48,526.0
864.41,117.0,22.0,654.62,527.0
864.62,118.0,22.0,654.27,535.0
864.83,119.0,22.0,644.5,547.0
865.04,120.0,22.0,648.96,536.0
865.25,121.0,22.0,648.96,548.0
865.45,122.0,22.0,3210.14,568.0
865.68,123.0,22.0,-10.0,568.0
866.02,124.0,22.0,-10.0,577.0
866.35,125.0,22.0,-10.0,573.0
866.69,126.0,22.0,736.25,593.0
866.9,127.0,22.0,722.7,579.0
867.11,128.0,22.0,725.27,580.0
867.32,129.0,22.0,2178.22,605.0
867.53,130.0,22.0,2175.48,611.0
867.75,131.0,22.0,2139.46,661.0
867.97,132.0,22.0,-10.0,698.0
868.3,133.0,22.0,2142.03,688.0
868.52,134.0,22.0,1246.63,755.0
868.73,135.0,22.0,1248.52,708.0
868.94,136.0,22.0,1232.91,812.0
869.16,137.0,22.0,1225.37,790.0
869.37,138.0,22.0,1251.09,786.0
869.58,139.0,22.0,608.83,835.0
869.78,140.0,22.0,629.4,917.0
869.99,141.0,22.0,613.11,958.0
870.2,142.0,22.0,612.26,1141.0
870.41,143.0,22.0,1224.0,848.0
870.62,144.0,22.0,-10.0,657.0
870.96,145.0,22.0,-10.0,810.0
871.3,146.0,22.0,707.27,742.0
871.51,147.0,22.0,-10.0,683.0
871.84,148.0,22.0,-10.0,705.0
872.19,149.0,22.0,-10.0,590.0
872.44,150.0,22.0,2172.56,590.0
872.65,151.0,22.0,-10.0,517.0
872.95,152.0,22.0,-10.0,481.0
873.23,153.0,22.0,2165.19,381.0
873.44,154.0,22.0,-10.0,368.0
873.69,155.0,22.0,627.52,408.0
873.9,156.0,22.0,613.97,372.0
874.11,157.0,22.0,631.12,348.0
874.31,158.0,22.0,632.32,342.0
874.52,159.0,22.0,1979.62,343.0
874.74,160.0,22.0,-10.0,337.0
874.99,161.0,22.0,-10.0,347.0
875.27,162.0,22.0,643.64,348.0
875.48,163.0,22.0,643.13,344.0
875.69,164.0,22.0,-10.0,346.0
875.92,165.0,22.0,-10.0,338.0
876.2,166.0,22.0,-10.0,359.0
876.48,167.0,22.0,-10.0,374.0
876.71,168.0,22.0,-10.0,374.0
876.95,169.0,22.0,-10.0,414.0
877.18,170.0,22.0,-10.0,588.0
877.41,171.0,22.0,-10.0,573.0
877.64,172.0,22.0,-10.0,2302.0
877.87,173.0,22.0,-10.0,2466.0
878.1,174.0,22.0,-10.0,2456.0
878.34,175.0,22.0,-10.0,2454.0
878.57,176.0,22.0,-10.0,2483.0
878.8,177.0,22.0,-10.0,2451.0
879.03,178.0,22.0,-10.0,2449.0
879.27,179.0,22.0,-10.0,2474.0
879.5,180.0,22.0,-10.0,2455.0
879.73,181.0,23.0,-10.0,2439.0
879.96,180.0,23.0,-10.0,2440.0
880.2,179.0,23.0,-10.0,2430.0
880.44,178.0,23.0,-10.0,2441.0
880.67,177.0,23.0,-10.0,2396.0
880.9,176.0,23.0,-10.0,2411.0
881.13,175.0,23.0,-10.0,2415.0
881.36,174.0,23.0,-10.0,2422.0
881.59,173.0,23.0,-10.0,2419.0
881.83,172.0,23.0,-10.0,2394.0
882.06,171.0,23.0,-10.0,2260.0
882.29,170.0,23.0,-10.0,1688.0
882.52,169.0,23.0,-10.0,1043.0
882.75,168.0,23.0,-10.0,438.0
882.99,167.0,23.0,-10.0,406.0
883.22,166.0,23.0,-10.0,418.0
883.45,165.0,23.0,-10.0,392.0
883.69,164.0,23.0,-10.0,383.0
883.97,163.0,23.0,-10.0,385.0
884.25,162.0,23.0,-10.0,370.0
884.53,161.0,23.0,-10.0,369.0
884.81,160.0,23.0,-10.0,370.0
885.09,159.0,23.0,-10.0,353.0
885.36,158.0,23.0,647.07,365.0
885.57,157.0,23.0,631.81,374.0
885.78,156.0,23.0,627.0,383.0
885.99,155.0,23.0,630.43,421.0
886.2,154.0,23.0,-10.0,421.0
886.48,153.0,23.0,-10.0,417.0
886.76,152.0,23.0,-10.0,511.0
887.04,151.0,23.0,-10.0,614.0
887.32,150.0,23.0,-10.0,826.0
887.55,149.0,23.0,2165.7,686.0
887.77,148.0,23.0,-10.0,719.0
888.02,147.0,23.0,639.69,1094.0
888.22,146.0,23.0,-10.0,872.0
888.48,145.0,23.0,-10.0,1191.0
888.71,144.0,23.0,-10.0,909.0
888.95,143.0,23.0,-10.0,832.0
889.22,142.0,23.0,-10.0,943.0
889.46,141.0,23.0,620.14,1081.0
889.66,140.0,23.0,621.17,912.0
889.87,139.0,23.0,626.49,1097.0
890.08,138.0,23.0,1224.17,994.0
890.29,137.0,23.0,1234.46,818.0
890.5,136.0,23.0,1219.88,909.0
890.71,135.0,23.0,-10.0,755.0
890.95,134.0,23.0,2165.36,704.0
891.16,133.0,23.0,611.4,698.0
891.37,132.0,23.0,2151.47,641.0
891.59,131.0,23.0,2144.26,657.0
891.8,130.0,23.0,1560.99,678.0
892.02,129.0,23.0,700.06,699.0
892.22,128.0,23.0,1152.65,615.0
892.43,127.0,23.0,-10.0,597.0
892.71,126.0,23.0,-10.0,590.0
892.99,125.0,23.0,-10.0,580.0
893.27,124.0,23.0,2178.91,596.0
893.49,123.0,23.0,-10.0,570.0
893.73,122.0,23.0,684.8,572.0
893.94,121.0,23.0,674.34,561.0
894.15,120.0,23.0,666.28,554.0
894.36,119.0,23.0,648.78,550.0
894.57,118.0,23.0,653.93,538.0
894.78,117.0,23.0,668.68,530.0
894.98,116.0,23.0,1362.4,525.0
895.19,115.0,23.0,1357.77,526.0
895.41,114.0,23.0,1366.17,518.0
895.62,113.0,23.0,1354.68,515.0
895.83,112.0,23.0,715.5,508.0
896.04,111.0,23.0,698.35,507.0
896.25,110.0,23.0,706.92,497.0
896.45,109.0,23.0,715.67,496.0
896.66,108.0,23.0,1353.31,501.0
896.87,107.0,23.0,1239.94,493.0
897.08,106.0,23.0,1336.33,494.0
897.3,105.0,23.0,-10.0,482.0
897.55,104.0,23.0,1348.85,483.0
897.76,103.0,23.0,3076.2,487.0
897.98,102.0,23.0,1336.5,489.0
898.2,101.0,23.0,1340.62,483.0
898.41,100.0,23.0,1336.33,477.0
898.62,99.0,23.0,1320.04,484.0
898.83,98.0,23.0,641.24,480.0
899.04,97.0,23.0,1329.12,479.0
899.25,96.0,23.0,3006.22,479.0
899.47,95.0,23.0,1333.76,479.0
899.68,94.0,23.0,1332.73,476.0
899.89,93.0,23.0,1324.49,480.0
900.1,92.0,23.0,1355.54,474.0
900.32,91.0,23.0,767.63,476.0
900.53,90.0,23.0,384.67,468.0
900.73,89.0,23.0,1343.87,480.0
900.94,88.0,23.0,1334.78,487.0
901.15,87.0,23.0,698.52,487.0
901.36,86.0,23.0,1339.59,495.0
901.57,85.0,23.0,3004.17,491.0
901.79,84.0,23.0,1330.33,493.0
902.01,83.0,23.0,1369.43,499.0
902.22,82.0,23.0,1344.05,500.0
902.43,81.0,23.0,1349.53,499.0
902.64,80.0,23.0,711.72,493.0
902.85,79.0,23.0,1354.85,510.0
903.06,78.0,23.0,3006.57,507.0
903.28,77.0,23.0,1368.23,496.0
903.5,76.0,23.0,1363.94,506.0
903.71,75.0,23.0,1367.88,506.0
903.92,74.0,23.0,1355.54,528.0
904.13,73.0,23.0,911.35,521.0
904.34,72.0,23.0,3038.47,521.0
904.56,71.0,23.0,1400.81,526.0
904.77,70.0,23.0,1376.63,525.0
904.98,69.0,23.0,3021.14,518.0
905.21,68.0,23.0,3037.78,524.0
905.43,67.0,23.0,1576.08,528.0
905.64,66.0,23.0,3084.94,544.0
905.86,65.0,23.0,3049.61,554.0
906.09,64.0,23.0,3044.12,567.0
906.31,63.0,23.0,-10.0,567.0
906.57,62.0,23.0,3181.5,571.0
906.79,61.0,23.0,1790.63,588.0
907.01,60.0,23.0,1773.48,582.0
907.22,59.0,23.0,1794.58,594.0
907.44,58.0,23.0,3186.98,587.0
907.66,57.0,23.0,1747.93,584.0
907.87,56.0,23.0,3193.33,689.0
908.1,55.0,23.0,1768.51,593.0
908.31,54.0,23.0,1778.11,596.0
908.52,53.0,23.0,3194.19,652.0
908.75,52.0,23.0,1772.28,638.0
908.96,51.0,23.0,1774.34,752.0
909.17,50.0,23.0,1792.18,741.0
909.39,49.0,23.0,3195.73,668.0
909.61,48.0,23.0,1775.88,741.0
909.83,47.0,23.0,1797.49,707.0
910.04,46.0,23.0,810.68,748.0
910.25,45.0,23.0,1616.56,769.0
910.46,44.0,23.0,1607.13,823.0
910.67,43.0,23.0,1713.28,824.0
910.89,42.0,23.0,1763.88,930.0
911.1,41.0,23.0,1762.85,938.0
911.32,40.0,23.0,3207.91,971.0
911.54,39.0,23.0,1619.47,1201.0
911.75,38.0,23.0,1414.36,1015.0
911.97,37.0,23.0,-10.0,1510.0
912.31,36.0,23.0,1612.27,1429.0
912.52,35.0,23.0,1447.97,1547.0
912.73,34.0,23.0,1512.12,1477.0
912.95,33.0,23.0,1506.8,1459.0
913.16,32.0,23.0,888.54,1502.0
913.37,31.0,23.0,899.0,1480.0
913.58,30.0,23.0,845.15,1513.0
913.78,29.0,23.0,1135.84,1531.0
913.99,28.0,23.0,900.72,1488.0
914.2,27.0,23.0,1149.05,1517.0
914.41,26.0,23.0,1124.18,1550.0
914.63,25.0,23.0,1461.87,1509.0
914.84,24.0,23.0,1163.46,1539.0
915.05,23.0,23.0,1162.94,1522.0
915.26,22.0,23.0,1449.69,1543.0
915.47,21.0,23.0,1441.11,1532.0
915.68,20.0,23.0,1449.86,1497.0
915.9,19.0,23.0,828.52,1563.0
916.1,18.0,23.0,1091.6,1548.0
916.32,17.0,23.0,1103.26,1502.0
916.53,16.0,23.0,1476.96,1530.0
916.74,15.0,23.0,749.8,1537.0
916.95,14.0,23.0,761.8,1589.0
917.15,13.0,23.0,749.45,1500.0
917.36,12.0,23.0,730.93,1474.0
917.57,11.0,23.0,748.94,1502.0
917.78,10.0,23.0,1127.96,1359.0
917.99,9.0,23.0,708.47,1306.0
918.2,8.0,23.0,1332.21,1324.0
918.41,7.0,23.0,741.05,1340.0
918.62,6.0,23.0,1475.41,1268.0
918.83,5.0,23.0,-10.0,1159.0
919.17,4.0,23.0,1489.99,1390.0
919.38,3.0,23.0,1434.25,1166.0
919.59,2.0,23.0,1209.25,1348.0
919.8,1.0,23.0,743.28,1304.0
920.01,0.0,23.0,1452.26,1395.0
920.22,-1.0,24.0,706.75,1458.0
920.43,0.0,24.0,1509.54,1434.0
920.64,1.0,24.0,-10.0,1489.0
920.98,2.0,24.0,1497.88,1495.0
921.19,3.0,24.0,1450.38,1446.0
921.41,4.0,24.0,1446.95,1573.0
921.62,5.0,24.0,-10.0,1413.0
921.96,6.0,24.0,1438.03,1554.0
922.17,7.0,24.0,1455.52,1544.0
922.38,8.0,24.0,1336.16,1429.0
922.59,9.0,24.0,736.42,1488.0
922.8,10.0,24.0,1060.9,1418.0
923.01,11.0,24.0,1085.25,1490.0
923.22,12.0,24.0,1136.19,1550.0
923.43,13.0,24.0,674.0,1580.0
923.64,14.0,24.0,739.34,1497.0
923.85,15.0,24.0,753.23,1492.0
924.06,16.0,24.0,1430.14,1558.0
924.27,17.0,24.0,727.16,1546.0
924.48,18.0,24.0,1531.15,1526.0
924.69,19.0,24.0,-10.0,1513.0
925.03,20.0,24.0,1570.94,1527.0
925.24,21.0,24.0,1453.46,1532.0
925.45,22.0,24.0,1458.09,1535.0
925.67,23.0,24.0,870.19,1537.0
925.88,24.0,24.0,1142.19,1548.0
926.09,25.0,24.0,-10.0,1524.0
926.34,26.0,24.0,1183.69,1580.0
926.55,27.0,24.0,767.46,1549.0
926.76,28.0,24.0,1140.65,1518.0
926.97,29.0,24.0,-10.0,1507.0
927.3,30.0,24.0,1622.39,1544.0
927.52,31.0,24.0,1442.83,1500.0
927.73,32.0,24.0,1154.02,1497.0
927.94,33.0,24.0,1544.19,1549.0
928.15,34.0,24.0,1506.28,1487.0
928.37,35.0,24.0,1460.15,1576.0
928.58,36.0,24.0,1520.18,1499.0
928.79,37.0,24.0,1594.09,1422.0
929.01,38.0,24.0,1575.91,1215.0
929.22,39.0,24.0,3225.74,1209.0
929.44,40.0,24.0,1767.65,1032.0
929.66,41.0,24.0,1732.49,1141.0
929.87,42.0,24.0,3207.56,964.0
930.09,43.0,24.0,1641.77,864.0
930.31,44.0,24.0,1630.11,856.0
930.52,45.0,24.0,1624.79,875.0
930.73,46.0,24.0,763.17,781.0
930.94,47.0,24.0,3199.68,822.0
931.16,48.0,24.0,1788.4,829.0
931.38,49.0,24.0,1480.56,674.0
931.59,50.0,24.0,1780.0,785.0
931.8,51.0,24.0,695.78,713.0
932.01,52.0,24.0,1784.46,677.0
932.23,53.0,24.0,1773.48,754.0
932.44,54.0,24.0,1792.52,672.0
932.66,55.0,24.0,1778.46,654.0
932.87,56.0,24.0,768.66,665.0
933.08,57.0,24.0,1781.03,592.0
933.29,58.0,24.0,850.98,588.0
933.5,59.0,24.0,3186.81,586.0
933.72,60.0,24.0,3183.04,589.0
933.95,61.0,24.0,3194.19,571.0
934.17,62.0,24.0,3201.73,561.0
934.39,63.0,24.0,3057.33,577.0
934.61,64.0,24.0,3047.55,543.0
934.83,65.0,24.0,3035.72,545.0
935.06,66.0,24.0,3021.66,561.0
935.28,67.0,24.0,3056.13,556.0
935.5,68.0,24.0,3041.9,535.0
935.72,69.0,24.0,3012.57,558.0
935.94,70.0,24.0,3021.14,549.0
936.16,71.0,24.0,3035.89,530.0
936.39,72.0,24.0,1364.8,532.0
936.6,73.0,24.0,3023.89,540.0
936.82,74.0,24.0,1361.54,509.0
937.03,75.0,24.0,1368.4,527.0
937.24,76.0,24.0,3010.68,507.0
937.46,77.0,24.0,1350.22,516.0
937.67,78.0,24.0,1375.77,510.0
937.89,79.0,24.0,1356.91,510.0
938.1,80.0,24.0,1355.88,505.0
938.31,81.0,24.0,702.46,506.0
938.52,82.0,24.0,3004.68,499.0
938.74,83.0,24.0,1343.87,503.0
938.95,84.0,24.0,1343.53,497.0
939.16,85.0,24.0,1334.27,500.0
939.38,86.0,24.0,1343.87,492.0
939.59,87.0,24.0,1328.1,489.0
939.8,88.0,24.0,692.52,489.0
940.01,89.0,24.0,1331.87,490.0
940.22,90.0,24.0,735.56,488.0
940.43,91.0,24.0,1321.58,492.0
940.64,92.0,24.0,359.46,494.0
940.84,93.0,24.0,1332.55,489.0
941.06,94.0,24.0,3048.07,488.0
941.28,95.0,24.0,1333.76,487.0
941.49,96.0,24.0,1338.73,485.0
941.7,97.0,24.0,1339.24,484.0
941.91,98.0,24.0,1333.41,490.0
942.12,99.0,24.0,689.43,484.0
942.33,100.0,24.0,1332.21,491.0
942.54,101.0,24.0,3015.14,489.0
942.77,102.0,24.0,1336.16,481.0
942.98,103.0,24.0,1370.11,486.0
943.19,104.0,24.0,1334.27,496.0
943.4,105.0,24.0,1339.07,488.0
943.61,106.0,24.0,698.01,501.0
943.82,107.0,24.0,1355.88,507.0
944.03,108.0,24.0,-10.0,509.0
944.37,109.0,24.0,1391.55,501.0
944.58,110.0,24.0,1348.85,507.0
944.79,111.0,24.0,1353.13,512.0
945.01,112.0,24.0,1340.96,512.0
945.22,113.0,24.0,710.35,519.0
945.42,114.0,24.0,698.69,530.0
945.63,115.0,24.0,714.64,531.0
945.84,116.0,24.0,1339.42,530.0
946.05,117.0,24.0,-10.0,534.0
946.39,118.0,24.0,-10.0,538.0
946.73,119.0,24.0,3143.94,554.0
946.96,120.0,24.0,712.41,549.0
947.16,121.0,24.0,699.38,559.0
947.37,122.0,24.0,695.26,567.0
947.58,123.0,24.0,703.49,590.0
947.79,124.0,24.0,707.44,613.0
947.99,125.0,24.0,703.32,613.0
948.2,126.0,24.0,707.61,611.0
948.41,127.0,24.0,-10.0,619.0
948.75,128.0,24.0,-10.0,641.0
949.09,129.0,24.0,2171.36,657.0
949.31,130.0,24.0,-10.0,626.0
949.65,131.0,24.0,2155.58,694.0
949.86,132.0,24.0,-10.0,738.0
950.2,133.0,24.0,2166.9,798.0
950.42,134.0,24.0,-10.0,833.0
950.66,135.0,24.0,-10.0,858.0
951.0,136.0,24.0,2163.82,811.0
951.21,137.0,24.0,-10.0,990.0
951.55,138.0,24.0,-10.0,1018.0
951.89,139.0,24.0,1219.88,1166.0
952.1,140.0,24.0,-10.0,1155.0
952.44,141.0,24.0,1251.26,1360.0
952.65,142.0,24.0,1261.21,1488.0
952.87,143.0,24.0,640.04,1486.0
953.07,144.0,24.0,-10.0,1784.0
953.31,145.0,24.0,2153.53,1737.0
953.52,146.0,24.0,2153.35,1758.0
953.74,147.0,24.0,2173.42,1848.0
953.96,148.0,24.0,2184.4,1808.0
954.17,149.0,24.0,610.71,1867.0
954.38,150.0,24.0,-10.0,1890.0
954.66,151.0,24.0,-10.0,1922.0
954.94,152.0,24.0,-10.0,1612.0
955.21,153.0,24.0,-10.0,532.0
955.49,154.0,24.0,-10.0,556.0
955.77,155.0,24.0,-10.0,629.0
956.05,156.0,24.0,624.6,548.0
956.26,157.0,24.0,647.41,457.0
956.47,158.0,24.0,663.02,434.0
956.67,159.0,24.0,1801.44,409.0
956.89,160.0,24.0,-10.0,389.0
957.17,161.0,24.0,-10.0,427.0
957.45,162.0,24.0,-10.0,424.0
957.72,163.0,24.0,-10.0,420.0
958.0,164.0,24.0,-10.0,450.0
958.28,165.0,24.0,-10.0,434.0
958.56,166.0,24.0,-10.0,493.0
958.84,167.0,24.0,-10.0,551.0
959.12,168.0,24.0,-10.0,516.0
959.35,169.0,24.0,-10.0,607.0
959.58,170.0,24.0,-10.0,2077.0
959.82,171.0,24.0,-10.0,2099.0
960.05,172.0,24.0,-10.0,2251.0
960.28,173.0,24.0,-10.0,2311.0
960.51,174.0,24.0,-10.0,2337.0
960.74,175.0,24.0,-10.0,2328.0
960.98,176.0,24.0,-10.0,2351.0
961.21,177.0,24.0,-10.0,2324.0
961.44,178.0,24.0,-10.0,2341.0
961.67,179.0,24.0,-10.0,2357.0
961.9,180.0,24.0,-10.0,2336.0
962.14,181.0,25.0,-10.0,2340.0
962.37,180.0,25.0,-10.0,2326.0
962.6,179.0,25.0,-10.0,2320.0
962.83,178.0,25.0,-10.0,2306.0
963.06,177.0,25.0,-10.0,2331.0
963.3,176.0,25.0,-10.0,2288.0
963.53,175.0,25.0,-10.0,2307.0
963.76,174.0,25.0,-10.0,2292.0
963.99,173.0,25.0,-10.0,2314.0
964.22,172.0,25.0,-10.0,2239.0
964.46,171.0,25.0,-10.0,2228.0
964.69,170.0,25.0,-10.0,2137.0
964.92,169.0,25.0,-10.0,2129.0
965.15,168.0,25.0,-10.0,1844.0
965.39,167.0,25.0,-10.0,931.0
965.63,166.0,25.0,-10.0,1147.0
965.91,165.0,25.0,-10.0,574.0
966.19,164.0,25.0,-10.0,494.0
966.47,163.0,25.0,654.27,525.0
966.68,162.0,25.0,-10.0,472.0
966.93,161.0,25.0,-10.0,479.0
967.21,160.0,25.0,-10.0,447.0
967.49,159.0,25.0,-10.0,445.0
967.77,158.0,25.0,-10.0,451.0
968.05,157.0,25.0,625.12,469.0
968.26,156.0,25.0,626.83,572.0
968.47,155.0,25.0,-10.0,716.0
968.7,154.0,25.0,-10.0,855.0
968.98,153.0,25.0,-10.0,1378.0
969.26,152.0,25.0,-10.0,1672.0
969.54,151.0,25.0,-10.0,1953.0
969.82,150.0,25.0,-10.0,1954.0
970.1,149.0,25.0,645.01,1987.0
970.3,148.0,25.0,641.92,1965.0
